#{"t_start": 1754500590.5256593, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
325.0,3229,1038.317822
60.0,1067,1039.530473
330.0,3537,1043.44014
180.0,2127,1045.800732
185.0,2405,1048.506372
365.0,3193,1052.034331
170.0,2065,1054.26196
95.0,1401,1055.838038
140.0,2035,1058.068585
55.0,1483,1059.941059
80.0,1123,1061.397738
135.0,1621,1066.006345
290.0,2531,1068.806734
480.0,3321,1072.289881
305.0,3089,1075.416491
245.0,2233,1077.817245
210.0,2785,1080.768469
50.0,1131,1081.892589
440.0,3417,1085.43064
275.0,3309,1088.991318
490.0,3465,1092.710896
115.0,1629,1094.332438
155.0,1567,1098.678719
55.0,1689,1100.524068
90.0,1949,1102.584222
475.0,4027,1107.31638
110.0,1929,1109.355525
140.0,1937,1111.722484
180.0,2529,1114.577925
255.0,2223,1117.118137
385.0,3455,1120.971032
305.0,2883,1124.420679
195.0,1665,1126.419326
215.0,2629,1132.177868
235.0,2229,1134.591481
280.0,2205,1136.854824
515.0,3391,1140.708627
190.0,1839,1142.781094
210.0,2005,1144.9761
120.0,1213,1146.524617
225.0,2383,1161.031249
355.0,3613,1167.902491
275.0,2269,1170.568906
165.0,2551,1173.878188
210.0,2161,1176.610106
220.0,1983,1179.19852
405.0,3269,1183.277933
215.0,2013,1185.494599
335.0,2345,1188.354776
310.0,2889,1191.930956
250.0,1887,1196.727798
130.0,2085,1199.257058
140.0,1619,1201.159451
195.0,2011,1203.767872
155.0,1635,1205.942036
270.0,2373,1209.039248
180.0,1949,1211.586632
485.0,2865,1215.331485
250.0,2511,1218.536618
250.0,2777,1221.767074
285.0,3035,1225.045754
135.0,1977,1230.130241
70.0,1443,1231.980168
255.0,2651,1235.099706
355.0,3147,1238.661469
570.0,3663,1242.830737
135.0,1963,1245.007077
315.0,3025,1248.420837
440.0,3105,1252.441893
475.0,4021,1257.493792
310.0,2721,1263.570571
310.0,2853,1266.900369
340.0,2569,1269.921926
135.0,1949,1271.984329
300.0,3035,1275.165943
185.0,2249,1277.549892
215.0,2083,1279.958414
185.0,1581,1282.01247
570.0,3061,1285.424316
375.0,3663,1289.603217
250.0,2211,1293.193078
165.0,2295,1306.182563
255.0,3039,1309.385995
120.0,2009,1311.693857
415.0,3003,1314.79892
185.0,2567,1318.406962
225.0,2445,1321.127764
160.0,2283,1323.46731
260.0,3177,1329.593884
240.0,2199,1332.206381
125.0,1957,1334.52243
255.0,2221,1336.754865
175.0,2039,1339.02965
170.0,1871,1341.043742
260.0,2257,1343.3607
145.0,1901,1345.252559
175.0,1615,1346.842616
320.0,2955,1350.122477
365.0,3323,1353.494501
535.0,3143,1357.163137
655.0,5007,1366.324151
210.0,1871,1368.826579
70.0,1871,1370.739989
465.0,2991,1373.986131
330.0,2721,1376.909741
490.0,3571,1381.248554
335.0,2987,1384.772037
325.0,3115,1388.016636
450.0,3155,1394.192935
135.0,2005,1396.878157
290.0,3773,1401.177156
90.0,1521,1402.990983
305.0,2559,1406.333713
180.0,2437,1409.174571
50.0,2125,1411.633018
195.0,3373,1415.604839
45.0,1637,1417.697358
345.0,3565,1421.81699
410.0,3415,1428.423116
270.0,3109,1442.687361
110.0,2469,1445.7862
430.0,3621,1450.400467
115.0,1947,1452.744421
115.0,1843,1455.287799
105.0,1819,1460.309781
145.0,1629,1462.224523
125.0,1535,1464.079781
565.0,3193,1467.764456
185.0,1557,1469.885909
345.0,3495,1474.050298
120.0,2043,1476.162447
185.0,2011,1478.310849
80.0,1377,1479.717338
100.0,1225,1480.975919
190.0,2207,1483.314028
155.0,2095,1485.430122
335.0,2619,1488.199625
40.0,1287,1492.3547
105.0,1243,1493.862724
560.0,3201,1497.23848
105.0,1715,1499.25544
50.0,1973,1501.592382
30.0,1087,1502.753562
300.0,4553,1507.587784
345.0,2767,1511.322959
55.0,1551,1513.175121
240.0,2267,1515.729395
35.0,1149,1516.924695
110.0,1585,1518.778526
90.0,1049,1520.374245
185.0,1935,1525.160241
30.0,1333,1526.753106
160.0,1951,1528.60284
245.0,3969,1532.778675
145.0,2071,1534.992041
50.0,1049,1536.104654
500.0,4117,1541.1071
125.0,2117,1543.291593
275.0,2633,1546.413721
165.0,1939,1548.673959
290.0,2909,1552.549665
130.0,1789,1557.353741
270.0,2693,1560.515362
95.0,1011,1561.689838
200.0,2703,1564.687963
105.0,1381,1566.22854
350.0,3493,1578.075229
270.0,2747,1581.046891
265.0,2515,1583.893763
255.0,3285,1590.343399
265.0,2155,1592.878895
525.0,2837,1596.035077
380.0,2939,1599.236577
275.0,2089,1601.564182
140.0,1743,1603.422137
140.0,1521,1605.192828
355.0,2805,1608.326381
90.0,1039,1609.513469
165.0,1963,1611.701885
255.0,4313,1616.472473
310.0,3529,1623.537676
60.0,1753,1625.607976
130.0,2177,1628.124221
125.0,2111,1630.543085
170.0,2299,1633.163289
85.0,1831,1635.349118
130.0,1927,1637.500048
185.0,2197,1640.487553
145.0,1895,1642.906088
150.0,1965,1645.59831
35.0,1243,1647.057107
300.0,3045,1650.727085
280.0,2689,1656.473027
65.0,1131,1657.835737
240.0,2395,1660.93324
635.0,3915,1665.51621
75.0,1315,1667.053287
155.0,1953,1669.278772
130.0,1655,1671.165832
280.0,2981,1674.770986
375.0,3077,1678.244657
340.0,2843,1681.367629
115.0,1393,1682.821734
300.0,2913,1688.950512
260.0,2507,1691.811724
145.0,1659,1693.651838
310.0,3306,1697.860605
70.0,1525,1699.541997
265.0,2523,1702.571001
700.0,4171,1716.473617
110.0,1717,1721.206302
195.0,2133,1723.518327
140.0,1479,1725.091646
145.0,1925,1727.239082
260.0,2057,1729.383388
170.0,1877,1731.290287
215.0,2547,1734.082263
350.0,2079,1736.268819
190.0,2393,1739.13985
680.0,4051,1743.812313
385.0,3239,1747.730474
90.0,1587,1749.54326
315.0,2709,1755.557016
180.0,1897,1757.948576
285.0,2845,1760.97462
305.0,2505,1764.033885
195.0,2181,1766.5317
255.0,2681,1769.882949
220.0,3149,1773.490675
450.0,3137,1777.173045
210.0,1941,1779.564913
120.0,2009,1782.027147
335.0,2415,1787.576063
360.0,3477,1791.797522
170.0,2361,1794.526092
205.0,2423,1797.503813
320.0,2917,1800.957497
230.0,2393,1803.565552
40.0,1093,1804.786162
405.0,3409,1808.695648
255.0,3211,1812.555843
275.0,2497,1815.320587
205.0,1981,1820.468752
435.0,2617,1823.590948
355.0,2937,1827.057204
155.0,2011,1829.320447
170.0,2547,1832.778605
285.0,2859,1836.217854
235.0,1915,1838.467119
250.0,2405,1841.062246
310.0,2567,1843.951917
150.0,2793,1858.331952
330.0,2523,1861.627138
280.0,2669,1864.585986
515.0,3499,1868.327554
150.0,1591,1870.109596
205.0,1923,1872.323695
390.0,3889,1876.831505
265.0,2665,1879.830286
220.0,2371,1885.508995
810.0,4000,1889.806886
390.0,3925,1893.947581
245.0,2561,1896.96491
395.0,3385,1901.378033
360.0,3483,1905.06236
310.0,3369,1908.710641
235.0,2917,1912.264297
240.0,2143,1914.678569
305.0,4199,1922.192311
155.0,2389,1924.774379
305.0,2151,1927.163625
75.0,1167,1928.453803
275.0,2307,1931.006408
170.0,1513,1932.590703
235.0,2069,1934.637595
310.0,3135,1938.0938
110.0,1261,1939.483422
305.0,2931,1942.625559
45.0,1533,1944.258169
655.0,4215,1951.916929
170.0,2643,1954.720261
110.0,1525,1956.372016
400.0,3653,1960.678461
150.0,1763,1962.72388
455.0,3401,1966.592255
555.0,4761,1971.77526
270.0,2421,1974.424194
255.0,2973,1977.33077
600.0,3869,1995.307944
230.0,2143,1997.352697
405.0,3203,2000.78646
345.0,3593,2004.457079
310.0,3343,2008.165944
120.0,1981,2010.586144
340.0,3019,2016.567434
525.0,3255,2019.951174
395.0,4255,2024.741402
255.0,2787,2027.763102
400.0,3717,2031.677927
140.0,1751,2033.493959
185.0,2555,2036.149248
330.0,3603,2040.082931
340.0,2823,2043.15572
70.0,1207,2044.209783
495.0,3599,2050.300746
340.0,3489,2054.04134
260.0,2989,2056.806223
570.0,4395,2061.309926
215.0,2561,2063.831947
525.0,4223,2067.855522
275.0,2657,2070.524377
750.0,4577,2074.988276
300.0,2891,2077.809575
255.0,2761,2083.37507
700.0,4031,2087.328274
405.0,4047,2091.617359
290.0,3347,2094.873118
230.0,2593,2097.342467
215.0,2537,2099.832328
170.0,2439,2102.282777
225.0,2531,2104.762285
215.0,2511,2122.266821
125.0,2229,2124.23017
325.0,2769,2126.728706
225.0,2463,2129.024453
220.0,3245,2132.183257
200.0,1949,2134.108493
250.0,2653,2136.609094
410.0,2989,2139.523151
295.0,3101,2142.632205
260.0,3219,2148.719953
130.0,2163,2150.87728
75.0,1861,2153.007463
125.0,2113,2155.146447
285.0,2695,2157.799798
175.0,2585,2160.535657
220.0,2931,2163.431592
430.0,2281,2165.646088
380.0,2972,2168.726324
380.0,3485,2172.36471
185.0,1931,2174.259479
430.0,3359,2180.962122
320.0,2537,2183.515088
260.0,2573,2186.292387
295.0,2959,2189.514202
325.0,2679,2192.375632
40.0,1443,2193.847146
575.0,4315,2198.080738
225.0,2389,2200.491602
340.0,2777,2203.353078
375.0,3035,2206.679399
280.0,2345,2209.247713
190.0,2695,2215.091521
590.0,2807,2218.39071
575.0,4189,2222.850056
65.0,1899,2224.880927
230.0,3095,2227.974511
440.0,3917,2232.300825
165.0,2133,2247.914567
170.0,2065,2249.909667
670.0,3277,2253.265054
65.0,2189,2255.328488
200.0,2089,2257.319788
260.0,1899,2259.246101
90.0,1455,2260.667853
85.0,1581,2262.234906
260.0,2167,2264.391651
300.0,3037,2267.547143
175.0,3183,2270.775747
545.0,4239,2274.983753
490.0,4071,2282.330052
185.0,2119,2284.550349
455.0,3433,2288.081252
105.0,2013,2290.111894
125.0,2071,2292.262759
515.0,3871,2296.225907
255.0,2705,2299.218932
